Wall time,Step,Value
1535703937.0498524,0,0.22973331809043884
1535703943.2555022,1,0.08187444508075714
1535703949.5370755,2,0.05925356596708298
1535703955.7580073,3,0.04883445426821709
1535703962.0060775,4,0.04232785105705261
1535703968.1263142,5,0.035030659288167953
1535703974.2755337,6,0.03356580436229706
1535703980.2687259,7,0.02904539927840233
1535703986.3079593,8,0.024994291365146637
1535703992.3750632,9,0.023007994517683983
1535703998.3518045,10,0.021554965525865555
1535704004.4890478,11,0.021270286291837692
1535704010.7188363,12,0.01852703094482422
1535704017.1282747,13,0.017426924780011177
1535704023.5330126,14,0.015893062576651573
